,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
35,oh,smoothed_cli,2020-09-04,2020-11-19,76,0.3700535,0.0474007,11944.0038,state,fb-survey
36,ok,smoothed_cli,2020-09-04,2020-11-19,76,0.8796759,0.1191625,4499.5672,state,fb-survey
37,or,smoothed_cli,2020-09-04,2020-11-19,76,0.3424663,0.0736869,4559.8131,state,fb-survey
38,pa,smoothed_cli,2020-09-04,2020-11-19,76,0.3933913,0.0465209,14173.0087,state,fb-survey
39,ri,smoothed_cli,2020-09-04,2020-11-19,76,0.2214195,0.1285763,1241.9855,state,fb-survey
40,sc,smoothed_cli,2020-09-04,2020-11-19,76,0.7192293,0.0963026,5738.0029,state,fb-survey
41,sd,smoothed_cli,2020-09-04,2020-11-19,76,0.7230874,0.2132506,1201.2486,state,fb-survey
42,tn,smoothed_cli,2020-09-04,2020-11-19,76,0.8357921,0.0938347,6365.3863,state,fb-survey
43,tx,smoothed_cli,2020-09-04,2020-11-19,76,0.6727212,0.0488803,21265.5151,state,fb-survey
44,ut,smoothed_cli,2020-09-04,2020-11-19,76,0.7424092,0.1315223,3207.0106,state,fb-survey
45,va,smoothed_cli,2020-09-04,2020-11-19,76,0.5449239,0.0685245,8585.8277,state,fb-survey
46,vt,smoothed_cli,2020-09-04,2020-11-19,76,0.2941174,0.185415,850.0009,state,fb-survey
47,wa,smoothed_cli,2020-09-04,2020-11-19,76,0.406117,0.0624018,7967.9442,state,fb-survey
48,wi,smoothed_cli,2020-09-04,2020-11-19,76,0.5076329,0.0779098,6004.9281,state,fb-survey
49,wv,smoothed_cli,2020-09-04,2020-11-19,76,0.4707179,0.1172833,2375.2544,state,fb-survey
50,wy,smoothed_cli,2020-09-04,2020-11-19,76,0.8520062,0.2832826,756.5442,state,fb-survey
0,ak,smoothed_cli,2020-09-05,2020-11-19,75,0.3371819,0.1681863,829.0,state,fb-survey
1,al,smoothed_cli,2020-09-05,2020-11-19,75,1.2197301,0.148769,4262.1124,state,fb-survey
2,ar,smoothed_cli,2020-09-05,2020-11-19,75,0.9183099,0.1441888,3062.0022,state,fb-survey
3,az,smoothed_cli,2020-09-05,2020-11-19,75,0.4857683,0.0785243,5917.8099,state,fb-survey
4,ca,smoothed_cli,2020-09-05,2020-11-19,75,0.4605894,0.0381671,23938.6657,state,fb-survey
5,co,smoothed_cli,2020-09-05,2020-11-19,75,0.4180507,0.074551,5718.8401,state,fb-survey
6,ct,smoothed_cli,2020-09-05,2020-11-19,75,0.2377877,0.0631738,4258.0,state,fb-survey
7,dc,smoothed_cli,2020-09-05,2020-11-19,75,0.7975028,0.3412173,630.0,state,fb-survey
8,de,smoothed_cli,2020-09-05,2020-11-19,75,0.2619241,0.1358405,1229.0,state,fb-survey
9,fl,smoothed_cli,2020-09-05,2020-11-19,75,0.6246703,0.0497205,18875.0026,state,fb-survey
10,ga,smoothed_cli,2020-09-05,2020-11-19,75,0.8132208,0.0877762,7907.9287,state,fb-survey
11,hi,smoothed_cli,2020-09-05,2020-11-19,75,0.3396705,0.1483072,1315.0,state,fb-survey
12,ia,smoothed_cli,2020-09-05,2020-11-19,75,0.9865463,0.1308137,4270.9294,state,fb-survey
13,id,smoothed_cli,2020-09-05,2020-11-19,75,1.0484205,0.2017927,2113.6246,state,fb-survey
14,il,smoothed_cli,2020-09-05,2020-11-19,75,0.6156924,0.063183,11799.0229,state,fb-survey
15,in,smoothed_cli,2020-09-05,2020-11-19,75,0.7336764,0.0916739,6668.0018,state,fb-survey
16,ks,smoothed_cli,2020-09-05,2020-11-19,75,0.666472,0.1214239,3296.0867,state,fb-survey
17,ky,smoothed_cli,2020-09-05,2020-11-19,75,0.6070449,0.102021,4501.6357,state,fb-survey
18,la,smoothed_cli,2020-09-05,2020-11-19,75,0.7108989,0.1179539,3794.1819,state,fb-survey
19,ma,smoothed_cli,2020-09-05,2020-11-19,75,0.2660872,0.059423,5910.015,state,fb-survey
20,md,smoothed_cli,2020-09-05,2020-11-19,75,0.3445838,0.0764058,4710.9974,state,fb-survey
21,me,smoothed_cli,2020-09-05,2020-11-19,75,0.4019326,0.1313142,1958.0,state,fb-survey
22,mi,smoothed_cli,2020-09-05,2020-11-19,75,0.4799197,0.0583845,11053.0709,state,fb-survey
23,mn,smoothed_cli,2020-09-05,2020-11-19,75,0.5014819,0.0852856,5402.7288,state,fb-survey
24,mo,smoothed_cli,2020-09-05,2020-11-19,75,0.7843522,0.1030938,5963.0803,state,fb-survey
25,ms,smoothed_cli,2020-09-05,2020-11-19,75,1.1077409,0.1767663,2690.4551,state,fb-survey
26,mt,smoothed_cli,2020-09-05,2020-11-19,75,0.6490067,0.1741346,1500.8942,state,fb-survey
27,nc,smoothed_cli,2020-09-05,2020-11-19,75,0.5414541,0.0638053,9918.0096,state,fb-survey
28,nd,smoothed_cli,2020-09-05,2020-11-19,75,0.4851304,0.208687,943.8224,state,fb-survey
29,ne,smoothed_cli,2020-09-05,2020-11-19,75,1.2332405,0.214784,2097.6134,state,fb-survey
30,nh,smoothed_cli,2020-09-05,2020-11-19,75,0.2991228,0.1128673,1900.0,state,fb-survey
31,nj,smoothed_cli,2020-09-05,2020-11-19,75,0.1950884,0.0412116,6970.9967,state,fb-survey
32,nm,smoothed_cli,2020-09-05,2020-11-19,75,0.4268242,0.1164394,2040.393,state,fb-survey
33,nv,smoothed_cli,2020-09-05,2020-11-19,75,0.711972,0.1476793,2364.4656,state,fb-survey
34,ny,smoothed_cli,2020-09-05,2020-11-19,75,0.3191687,0.0393196,14582.002,state,fb-survey
35,oh,smoothed_cli,2020-09-05,2020-11-19,75,0.433402,0.0518835,11725.0066,state,fb-survey
36,ok,smoothed_cli,2020-09-05,2020-11-19,75,0.8823555,0.1248279,4343.3244,state,fb-survey
37,or,smoothed_cli,2020-09-05,2020-11-19,75,0.3139693,0.0726994,4513.8149,state,fb-survey
38,pa,smoothed_cli,2020-09-05,2020-11-19,75,0.3948067,0.0472548,13888.009,state,fb-survey
39,ri,smoothed_cli,2020-09-05,2020-11-19,75,0.2728832,0.1404035,1190.985,state,fb-survey
40,sc,smoothed_cli,2020-09-05,2020-11-19,75,0.612269,0.0883574,5608.0031,state,fb-survey
41,sd,smoothed_cli,2020-09-05,2020-11-19,75,0.8950124,0.24335,1200.2554,state,fb-survey
42,tn,smoothed_cli,2020-09-05,2020-11-19,75,0.7922117,0.0938423,6293.533,state,fb-survey
43,tx,smoothed_cli,2020-09-05,2020-11-19,75,0.7187713,0.0518732,20836.7494,state,fb-survey
44,ut,smoothed_cli,2020-09-05,2020-11-19,75,0.6741438,0.124883,3194.0082,state,fb-survey
45,va,smoothed_cli,2020-09-05,2020-11-19,75,0.5265764,0.0690462,8395.7905,state,fb-survey
46,vt,smoothed_cli,2020-09-05,2020-11-19,75,0.3026632,0.1907844,826.0008,state,fb-survey
47,wa,smoothed_cli,2020-09-05,2020-11-19,75,0.4337745,0.0663988,7813.9432,state,fb-survey
48,wi,smoothed_cli,2020-09-05,2020-11-19,75,0.5467332,0.0815319,5855.9281,state,fb-survey
